Id,Rank,Mark,Wind,URI_Name,Competitor,DOB,Nat,Pos,Venue,City,Country,Date,Result_Score,Event,Sex
15,13,9.83,0.7,Noah_Lyles,Noah Lyles,1997-07-18,USA,2sf1,Stade de France,Paris,FRA,2024-08-04,1266,100_metres,male
16,16,9.84,0.6,Kishane_Thompson,Kishane Thompson,2001-07-17,JAM,1sf1,National Stadium,Kingston,JAM,2024-06-28,1262,100_metres,male
17,16,9.84,0.5,Fred_Kerley,Fred Kerley,1995-05-07,USA,2sf3,Stade de France,Paris,FRA,2024-08-04,1262,100_metres,male
18,18,9.85,0.9,Noah_Lyles,Noah Lyles,1997-07-18,USA,2,National Stadium,Kingston,JAM,2024-06-01,1259,100_metres,male
19,18,9.85,1.0,Lamont_Marcell_Jacobs,Lamont Marcell Jacobs,1994-09-26,ITA,5,Stade de France,Paris,FRA,2024-08-04,1259,100_metres,male
20,20,9.86,1.5,Christian_Coleman,Christian Coleman,1996-03-06,USA,1sf3,Hayward Field, Eugene,USA,2024-06-23,1255,100_metres,male
21,20,9.86,1.9,Benjamin_Richardson,Benjamin Richardson,2003-12-19,RSA,1f1,Stade de La Charriere,La Chaux-de-Fonds,SUI,2024-07-14,1255,100_metres,male
22,20,9.86,-0.3,Akani_Simbine,Akani Simbine,1993-09-21,RSA,2,Olympic Stadium,London,GBR,2024-07-20,1256,100_metres,male
23,20,9.86,1.0,Letsile_Tebogo,Letsile Tebogo,2003-06-07,BOT,6,Stade de France,Paris,FRA,2024-08-04,1255,100_metres,male
24,24,9.87,0.4,Kenneth_Bednarek,Kenneth Bednarek,1998-10-14,USA,2,Hayward Field, Eugene,USA,2024-06-23,1252,100_metres,male
25,24,9.87,0.0,Akani_Simbine,Akani Simbine,1993-09-21,RSA,1sf2,Stade de France,Paris,FRA,2024-08-04,1252,100_metres,male
26,24,9.87,1.9,Fred_Kerley,Fred Kerley,1995-05-07,USA,1,Stadion Śląski,Chorzów,POL,2024-08-25,1252,100_metres,male
27,24,9.87,0.3,Letsile_Tebogo,Letsile Tebogo,2003-06-07,BOT,1,Stadio Olimpico,Roma,ITA,2024-08-30,1252,100_metres,male
28,28,9.88,0.4,Fred_Kerley,Fred Kerley,1995-05-07,USA,3,Hayward Field, Eugene,USA,2024-06-23,1248,100_metres,male
29,28,9.88,-0.3,Letsile_Tebogo,Letsile Tebogo,2003-06-07,BOT,3,Olympic Stadium,London,GBR,2024-07-20,1249,100_metres,male
30,28,9.88,1.0,Kenneth_Bednarek,Kenneth Bednarek,1998-10-14,USA,7,Stade de France,Paris,FRA,2024-08-04,1248,100_metres,male
31,28,9.88,1.9,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,2,Stadion Śląski,Chorzów,POL,2024-08-25,1248,100_metres,male
32,32,9.89,1.9,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,3,Stadion Śląski,Chorzów,POL,2024-08-25,1245,100_metres,male
33,33,9.9,0.0,Shainer_Reginfo_Montoya,Shainer Reginfo Montoya,2002-04-08,CUB,1f1,Helmántico,Salamanca,ESP,2024-06-01,1241,100_metres,male
34,34,9.91,-0.6,Kishane_Thompson,Kishane Thompson,2001-07-17,JAM,1,Bregyó Athletic Center,Szekesfehervár,HUN,2024-07-09,1241,100_metres,male
35,34,9.91,1.2,Emmanuel_Matadi,Emmanuel Matadi,1991-04-15,LBR,1,Percy Beard Track, Gainesville,USA,2024-07-19,1238,100_metres,male
36,34,9.91,1.0,Oblique_Seville,Oblique Seville,2001-03-16,JAM,8,Stade de France,Paris,FRA,2024-08-04,1238,100_metres,male
37,34,9.91,0.0,Letsile_Tebogo,Letsile Tebogo,2003-06-07,BOT,2sf2,Stade de France,Paris,FRA,2024-08-04,1238,100_metres,male
38,38,9.92,1.5,Lamont_Marcell_Jacobs,Lamont Marcell Jacobs,1994-09-26,ITA,1,Paavo Nurmen Stadion,Turku,FIN,2024-06-18,1234,100_metres,male
39,38,9.92,0.3,Noah_Lyles,Noah Lyles,1997-07-18,USA,1h1,Hayward Field, Eugene,USA,2024-06-22,1234,100_metres,male
40,38,9.92,0.9,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,3,National Stadium,Kingston,JAM,2024-06-28,1234,100_metres,male
41,38,9.92,0.0,Lamont_Marcell_Jacobs,Lamont Marcell Jacobs,1994-09-26,ITA,3sf2,Stade de France,Paris,FRA,2024-08-04,1234,100_metres,male
42,38,9.92,0.3,Christian_Coleman,Christian Coleman,1996-03-06,USA,2,Stadio Olimpico,Roma,ITA,2024-08-30,1234,100_metres,male
43,43,9.93,1.6,Christian_Miller,Christian Miller,2006-05-16,USA,1f1,National Training Center, Clermont,USA,2024-04-20,1231,100_metres,male
44,43,9.93,2.0,Kendal_Williams,Kendal Williams,1995-09-23,USA,1f1,National Training Center, Clermont,USA,2024-05-11,1231,100_metres,male
45,43,9.93,0.4,Christian_Coleman,Christian Coleman,1996-03-06,USA,4,Hayward Field, Eugene,USA,2024-06-23,1231,100_metres,male
46,43,9.93,0.0,Kenneth_Bednarek,Kenneth Bednarek,1998-10-14,USA,4sf2,Stade de France,Paris,FRA,2024-08-04,1231,100_metres,male
47,43,9.93,1.9,Lamont_Marcell_Jacobs,Lamont Marcell Jacobs,1994-09-26,ITA,4,Stadion Śląski,Chorzów,POL,2024-08-25,1231,100_metres,male
48,43,9.93,0.1,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,1,Boudewijnstadion,Bruxelles,BEL,2024-09-13,1231,100_metres,male
49,49,9.94,1.7,Brandon_Hicklin,Brandon Hicklin,1999-04-02,USA,1f1,LSU Bernie Moore Stadium, Baton Rouge,USA,2024-04-27,1227,100_metres,male
50,49,9.94,1.4,Favour_Oghene_Tejiri_Ashe,Favour Oghene Tejiri Ashe,2002-04-28,NGR,1sf2,Un. of Kentucky Outdoor Track Facility, Lexington,USA,2024-05-24,1227,100_metres,male
51,49,9.94,0.4,Akani_Simbine,Akani Simbine,1993-09-21,RSA,1,Bislett Stadion,Oslo,NOR,2024-05-30,1227,100_metres,male
52,49,9.94,1.7,Brandon_Hicklin,Brandon Hicklin,1999-04-02,USA,1,Stadion Juliska,Praha,CZE,2024-06-03,1227,100_metres,male
53,49,9.94,0.8,Pjai_Austin,Pjai Austin,2000-09-19,USA,1h1,Percy Beard Track, Gainesville,USA,2024-07-19,1227,100_metres,male
54,54,9.95,1.2,Christian_Coleman,Christian Coleman,1996-03-06,USA,1,Hayward Field, Eugene,USA,2024-05-25,1224,100_metres,male
55,54,9.95,0.2,Louie_Hinchliffe,Louie Hinchliffe,2002-07-18,GBR,1,Hayward Field, Eugene,USA,2024-06-07,1224,100_metres,male
56,54,9.95,1.2,Christian_Miller,Christian Miller,2006-05-16,USA,1sf1,Franklin Field, Philadelphia,USA,2024-06-14,1224,100_metres,male
57,54,9.95,1.5,Brandon_Hicklin,Brandon Hicklin,1999-04-02,USA,2sf3,Hayward Field, Eugene,USA,2024-06-23,1224,100_metres,male
58,54,9.95,1.0,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,2h2,National Stadium,Kingston,JAM,2024-06-27,1224,100_metres,male
59,54,9.95,1.9,Ronnie_Baker,Ronnie Baker,1993-10-15,USA,2f1,Stade de La Charriere,La Chaux-de-Fonds,SUI,2024-07-14,1224,100_metres,male
60,54,9.95,0.5,Benjamin_Richardson,Benjamin Richardson,2003-12-19,RSA,3sf3,Stade de France,Paris,FRA,2024-08-04,1224,100_metres,male
61,54,9.95,1.5,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,1h5,Pramtalstadion,Andorf,AUT,2024-08-17,1224,100_metres,male
62,54,9.95,0.3,Fred_Kerley,Fred Kerley,1995-05-07,USA,3,Stadio Olimpico,Roma,ITA,2024-08-30,1224,100_metres,male
63,63,9.96,0.0,Reynaldo_R._Espinosa,Reynaldo R. Espinosa,2003-02-01,CUB,2f1,Helmántico,Salamanca,ESP,2024-06-01,1220,100_metres,male
64,63,9.96,1.5,Chituru_Ali,Chituru Ali,1999-04-06,ITA,2,Paavo Nurmen Stadion,Turku,FIN,2024-06-18,1220,100_metres,male
65,63,9.96,0.5,Abdul_Hakim_Sani_Brown,Abdul Hakim Sani Brown,1999-03-06,JPN,4sf3,Stade de France,Paris,FRA,2024-08-04,1220,100_metres,male
66,63,9.96,0.2,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,1,Stadio Comunale,Bellinzona,SUI,2024-09-09,1220,100_metres,male
67,67,9.97,1.4,Jeremiah_Azu,Jeremiah Azu,2001-05-15,GBR,1f1,Stadion Manfort,Leverkusen,GER,2024-05-25,1217,100_metres,male
68,67,9.97,1.5,Jhonny_Renteria_Jimenez,Jhonny Renteria Jimenez,1997-03-26,COL,1,Polideportivo Zorrotza,Bilbao,ESP,2024-06-18,1217,100_metres,male
69,67,9.97,1.5,Kyree_King,Kyree King,1994-07-09,USA,3sf3,Hayward Field, Eugene,USA,2024-06-23,1217,100_metres,male
70,67,9.97,-0.3,Louie_Hinchliffe,Louie Hinchliffe,2002-07-18,GBR,4,Olympic Stadium,London,GBR,2024-07-20,1218,100_metres,male
71,67,9.97,-0.3,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,5,Olympic Stadium,London,GBR,2024-07-20,1218,100_metres,male
72,67,9.97,0.3,Kenneth_Bednarek,Kenneth Bednarek,1998-10-14,USA,1h7,Stade de France,Paris,FRA,2024-08-03,1217,100_metres,male
73,67,9.97,0.2,Fred_Kerley,Fred Kerley,1995-05-07,USA,1h8,Stade de France,Paris,FRA,2024-08-03,1217,100_metres,male
74,67,9.97,0.7,Louie_Hinchliffe,Louie Hinchliffe,2002-07-18,GBR,3sf1,Stade de France,Paris,FRA,2024-08-04,1217,100_metres,male
75,67,9.97,-0.2,Courtney_Lindsey,Courtney Lindsey,1998-11-18,USA,1,Sports Park Mladost,Zagreb,CRO,2024-09-08,1218,100_metres,male
76,76,9.98,1.2,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,2,Hayward Field, Eugene,USA,2024-05-25,1213,100_metres,male
77,76,9.98,0.9,Ronnie_Baker,Ronnie Baker,1993-10-15,USA,1h1,Emory Woodruff Physical Education Center, Atlanta,USA,2024-06-08,1213,100_metres,male
78,76,9.98,0.4,Christian_Miller,Christian Miller,2006-05-16,USA,5,Hayward Field, Eugene,USA,2024-06-23,1213,100_metres,male
79,76,9.98,0.4,Oblique_Seville,Oblique Seville,2001-03-16,JAM,1h1,National Stadium,Kingston,JAM,2024-06-27,1213,100_metres,male
80,76,9.98,0.4,Bryan_Levell,Bryan Levell,2003-12-23,JAM,2sf2,National Stadium,Kingston,JAM,2024-06-28,1213,100_metres,male
81,76,9.98,1.9,Ebrahima_Camara,Ebrahima Camara,1996-09-18,GAM,3f1,Stade de La Charriere,La Chaux-de-Fonds,SUI,2024-07-14,1213,100_metres,male
82,76,9.98,1.8,Jeff_Erius,Jeff Erius,2004-03-08,FRA,1f1,Stadium Municipal,Albi,FRA,2024-07-19,1213,100_metres,male
83,76,9.98,1.1,Emmanuel_Matadi,Emmanuel Matadi,1991-04-15,LBR,1h2,Percy Beard Track, Gainesville,USA,2024-07-19,1213,100_metres,male
84,76,9.98,-0.2,Louie_Hinchliffe,Louie Hinchliffe,2002-07-18,GBR,1h3,Stade de France,Paris,FRA,2024-08-03,1214,100_metres,male
85,76,9.98,0.3,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,2h7,Stade de France,Paris,FRA,2024-08-03,1213,100_metres,male
86,76,9.98,0.5,Andre_De_Grasse,Andre De Grasse,1994-11-10,CAN,5sf3,Stade de France,Paris,FRA,2024-08-04,1213,100_metres,male
87,87,9.99,0.7,Favour_Oghene_Tejiri_Ashe,Favour Oghene Tejiri Ashe,2002-04-28,NGR,1f1,Percy Beard Track, Gainesville,USA,2024-03-30,1210,100_metres,male
88,87,9.99,0.6,Godson_Oke_Oghenebrume,Godson Oke Oghenebrume,2003-05-27,NGR,1,Percy Beard Track, Gainesville,USA,2024-05-11,1210,100_metres,male
89,87,9.99,0.4,Abdul_Hakim_Sani_Brown,Abdul Hakim Sani Brown,1999-03-06,JPN,2,Bislett Stadion,Oslo,NOR,2024-05-30,1210,100_metres,male
90,87,9.99,0.2,Favour_Oghene_Tejiri_Ashe,Favour Oghene Tejiri Ashe,2002-04-28,NGR,2,Hayward Field, Eugene,USA,2024-06-07,1210,100_metres,male
91,87,9.99,1.4,Lamont_Marcell_Jacobs,Lamont Marcell Jacobs,1994-09-26,ITA,1h2,Paavo Nurmen Stadion,Turku,FIN,2024-06-18,1210,100_metres,male
92,87,9.99,0.1,Christian_Coleman,Christian Coleman,1996-03-06,USA,1h4,Hayward Field, Eugene,USA,2024-06-22,1210,100_metres,male
93,87,9.99,0.5,Owen_Ansah,Owen Ansah,2000-11-28,GER,1,Eintracht-Stadion,Braunschweig,GER,2024-06-29,1210,100_metres,male
94,87,9.99,-0.6,Letsile_Tebogo,Letsile Tebogo,2003-06-07,BOT,2,Bregyó Athletic Center,Szekesfehervár,HUN,2024-07-09,1213,100_metres,male
95,87,9.99,0.0,Oblique_Seville,Oblique Seville,2001-03-16,JAM,1h4,Stade de France,Paris,FRA,2024-08-03,1210,100_metres,male
96,87,9.99,0.0,Courtney_Lindsey,Courtney Lindsey,1998-11-18,USA,1,Olympiastadion,Berlin,GER,2024-09-01,1210,100_metres,male
97,97,10.0,2.0,Cejhae_Greene,Cejhae Greene,1995-10-06,ANT,2f1,National Training Center, Clermont,USA,2024-05-11,1206,100_metres,male
98,97,10.0,0.8,Louie_Hinchliffe,Louie Hinchliffe,2002-07-18,GBR,1pr6,John McDonnell Field, Fayetteville,USA,2024-05-22,1206,100_metres,male
99,97,10.0,1.7,Reece_Prescod,Reece Prescod,1996-02-29,GBR,1er1,Lee Valley Athletics Centre,London,GBR,2024-06-02,1206,100_metres,male
100,97,10.0,0.6,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,1f1,National Stadium,Kingston,JAM,2024-06-08,1206,100_metres,male
101,97,10.0,1.5,Andre_De_Grasse,Andre De Grasse,1994-11-10,CAN,3,Paavo Nurmen Stadion,Turku,FIN,2024-06-18,1206,100_metres,male
102,97,10.0,0.3,Kenneth_Bednarek,Kenneth Bednarek,1998-10-14,USA,2h1,Hayward Field, Eugene,USA,2024-06-22,1206,100_metres,male
103,97,10.0,-0.1,Courtney_Lindsey,Courtney Lindsey,1998-11-18,USA,1h5,Hayward Field, Eugene,USA,2024-06-22,1206,100_metres,male
104,97,10.0,1.0,Sandrey_Davison,Sandrey Davison,2003-01-25,JAM,3h2,National Stadium,Kingston,JAM,2024-06-27,1206,100_metres,male
105,97,10.0,1.0,Julian_Forte,Julian Forte,1993-01-07,JAM,1h3,National Stadium,Kingston,JAM,2024-06-27,1206,100_metres,male
106,97,10.0,1.9,Lucas_Ansah-peprah,Lucas Ansah-peprah,2000-01-16,GER,4f1,Stade de La Charriere,La Chaux-de-Fonds,SUI,2024-07-14,1206,100_metres,male
107,97,10.0,0.1,Kayinsola_Ajayi,Kayinsola Ajayi,2004-09-14,NGR,1f3,Stadion Allmend,Luzern,SUI,2024-07-16,1206,100_metres,male
108,97,10.0,1.2,Joseph_Fahnbulleh,Joseph Fahnbulleh,2001-09-11,LBR,2,Percy Beard Track, Gainesville,USA,2024-07-19,1206,100_metres,male
109,97,10.0,1.1,Rikkoi_Brathwaite,Rikkoi Brathwaite,1999-02-13,IVB,2h2,Percy Beard Track, Gainesville,USA,2024-07-19,1206,100_metres,male
110,97,10.0,-0.3,Zharnel_Hughes,Zharnel Hughes,1995-07-13,GBR,6,Olympic Stadium,London,GBR,2024-07-20,1207,100_metres,male
111,97,10.0,0.6,Kishane_Thompson,Kishane Thompson,2001-07-17,JAM,1h1,Stade de France,Paris,FRA,2024-08-03,1206,100_metres,male
112,97,10.0,0.7,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,4sf1,Stade de France,Paris,FRA,2024-08-04,1206,100_metres,male
113,97,10.0,0.7,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,1f1,Pramtalstadion,Andorf,AUT,2024-08-17,1206,100_metres,male
114,97,10.0,0.7,Felipe_Bardi,Felipe Bardi,1998-10-08,BRA,1,COTP Stadium,São Paulo,BRA,2024-08-23,1206,100_metres,male
115,97,10.0,0.0,Akani_Simbine,Akani Simbine,1993-09-21,RSA,2,Olympiastadion,Berlin,GER,2024-09-01,1206,100_metres,male
116,97,10.0,0.1,Christian_Coleman,Christian Coleman,1996-03-06,USA,2,Boudewijnstadion,Bruxelles,BEL,2024-09-13,1206,100_metres,male
117,117,10.01,1.7,Noah_Lyles,Noah Lyles,1997-07-18,USA,1f1,Percy Beard Track, Gainesville,USA,2024-04-13,1203,100_metres,male
118,117,10.01,1.7,Kenneth_Bednarek,Kenneth Bednarek,1998-10-14,USA,1f1,Percy Beard Track, Gainesville,USA,2024-04-13,1203,100_metres,male
119,117,10.01,-0.5,Akani_Simbine,Akani Simbine,1993-09-21,RSA,1,Msunduzi Athletics Stadium,Pietermaritzburg,RSA,2024-04-19,1206,100_metres,male
120,117,10.01,-0.1,Akani_Simbine,Akani Simbine,1993-09-21,RSA,1,Suzhou Olympic Sports Centre,Suzhou,CHN,2024-04-27,1203,100_metres,male
121,117,10.01,1.7,Malachi_Murray,Malachi Murray,2000-03-18,CAN,2f1,LSU Bernie Moore Stadium, Baton Rouge,USA,2024-04-27,1203,100_metres,male
122,117,10.01,0.4,Emmanuel_Eseme,Emmanuel Eseme,1993-08-17,CMR,3,Bislett Stadion,Oslo,NOR,2024-05-30,1203,100_metres,male
123,117,10.01,0.2,Kayinsola_Ajayi,Kayinsola Ajayi,2004-09-14,NGR,3,Hayward Field, Eugene,USA,2024-06-07,1203,100_metres,male
124,117,10.01,1.1,Cooper_Bibbs,Cooper Bibbs,1998-04-14,USA,1f1,Notre Dame HS, Sherman Oaks,USA,2024-06-07,1203,100_metres,male
125,117,10.01,0.6,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,2sf1,National Stadium,Kingston,JAM,2024-06-28,1203,100_metres,male
126,117,10.01,0.8,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,1,FBK Stadium,Hengelo,NED,2024-07-07,1203,100_metres,male
127,117,10.01,-0.6,Akani_Simbine,Akani Simbine,1993-09-21,RSA,3,Bregyó Athletic Center,Szekesfehervár,HUN,2024-07-09,1206,100_metres,male
128,117,10.01,0.2,Letsile_Tebogo,Letsile Tebogo,2003-06-07,BOT,2h8,Stade de France,Paris,FRA,2024-08-03,1203,100_metres,male
129,117,10.01,0.5,Zharnel_Hughes,Zharnel Hughes,1995-07-13,GBR,6sf3,Stade de France,Paris,FRA,2024-08-04,1203,100_metres,male
130,117,10.01,1.0,Felipe_Bardi,Felipe Bardi,1998-10-08,BRA,1h1,COTP Stadium,São Paulo,BRA,2024-08-23,1203,100_metres,male
131,117,10.01,0.7,Jerome_Blake,Jerome Blake,1995-08-18,CAN,1,Heinz-Steyer-Stadion,Dresden,GER,2024-08-30,1203,100_metres,male
132,117,10.01,0.1,Fred_Kerley,Fred Kerley,1995-05-07,USA,3,Boudewijnstadion,Bruxelles,BEL,2024-09-13,1203,100_metres,male
133,133,10.02,0.5,Abdul_Hakim_Sani_Brown,Abdul Hakim Sani Brown,1999-03-06,JPN,1f1,UMiami Cobb Stadium, Coral Gables,USA,2024-03-23,1199,100_metres,male
134,133,10.02,1.8,Pjai_Austin,Pjai Austin,2000-09-19,USA,1f1,Percy Beard Track, Gainesville,USA,2024-03-30,1199,100_metres,male
135,133,10.02,1.7,Kyree_King,Kyree King,1994-07-09,USA,3f1,Percy Beard Track, Gainesville,USA,2024-04-13,1199,100_metres,male
136,133,10.02,1.7,Hiroki_Yanagita,Hiroki Yanagita,2003-07-25,JPN,3f1,LSU Bernie Moore Stadium, Baton Rouge,USA,2024-04-27,1199,100_metres,male
137,133,10.02,0.8,Julian_Forte,Julian Forte,1993-01-07,JAM,1f1,National Stadium,Kingston,JAM,2024-05-11,1199,100_metres,male
138,133,10.02,0.8,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,2f1,National Stadium,Kingston,JAM,2024-05-11,1199,100_metres,male
139,133,10.02,0.6,Wanya_Mccoy,Wanya Mccoy,2003-03-29,BAH,2,Percy Beard Track, Gainesville,USA,2024-05-11,1199,100_metres,male
140,133,10.02,0.9,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,3,National Stadium,Kingston,JAM,2024-06-01,1199,100_metres,male
141,133,10.02,0.2,Godson_Oke_Oghenebrume,Godson Oke Oghenebrume,2003-05-27,NGR,4,Hayward Field, Eugene,USA,2024-06-07,1199,100_metres,male
142,133,10.02,0.2,Abdul-rasheed_Saminu,Abdul-rasheed Saminu,1997-10-06,GHA,5,Hayward Field, Eugene,USA,2024-06-07,1199,100_metres,male
143,133,10.02,0.7,Lamont_Marcell_Jacobs,Lamont Marcell Jacobs,1994-09-26,ITA,1,Stadio Olimpico,Roma,ITA,2024-06-08,1199,100_metres,male
144,133,10.02,0.4,Courtney_Lindsey,Courtney Lindsey,1998-11-18,USA,6,Hayward Field, Eugene,USA,2024-06-23,1199,100_metres,male
145,133,10.02,0.9,Ryiem_Forde,Ryiem Forde,2001-05-23,JAM,1h4,National Stadium,Kingston,JAM,2024-06-27,1199,100_metres,male
146,133,10.02,0.0,Abdul_Hakim_Sani_Brown,Abdul Hakim Sani Brown,1999-03-06,JPN,2h4,Stade de France,Paris,FRA,2024-08-03,1199,100_metres,male
147,133,10.02,-0.3,Kayinsola_Ajayi,Kayinsola Ajayi,2004-09-14,NGR,1h5,Stade de France,Paris,FRA,2024-08-03,1200,100_metres,male
148,133,10.02,0.7,Shaun_Maswanganyi,Shaun Maswanganyi,2001-02-01,RSA,5sf1,Stade de France,Paris,FRA,2024-08-04,1199,100_metres,male
149,133,10.02,-0.2,Ferdinand_Omanyala,Ferdinand Omanyala,1996-01-02,KEN,2,Sports Park Mladost,Zagreb,CRO,2024-09-08,1200,100_metres,male
150,150,10.03,1.9,Fred_Kerley,Fred Kerley,1995-05-07,USA,1f1,UMiami Cobb Stadium, Coral Gables,USA,2024-03-16,1196,100_metres,male
151,150,10.03,1.6,Rikkoi_Brathwaite,Rikkoi Brathwaite,1999-02-13,IVB,2f1,National Training Center, Clermont,USA,2024-04-20,1196,100_metres,male
152,150,10.03,0.8,Abdul-rasheed_Saminu,Abdul-rasheed Saminu,1997-10-06,GHA,1,Park West Ath. Complex, San Antonio,USA,2024-05-10,1196,100_metres,male
153,150,10.03,0.6,Mccallum_T'mars,Mccallum T'mars,2004-05-20,USA,3,Percy Beard Track, Gainesville,USA,2024-05-11,1196,100_metres,male
154,150,10.03,0.8,Shaun_Maswanganyi,Shaun Maswanganyi,2001-02-01,RSA,2pr6,John McDonnell Field, Fayetteville,USA,2024-05-22,1196,100_metres,male
155,150,10.03,1.4,Kayinsola_Ajayi,Kayinsola Ajayi,2004-09-14,NGR,2sf2,Un. of Kentucky Outdoor Track Facility, Lexington,USA,2024-05-24,1196,100_metres,male
156,150,10.03,1.9,Duan_Asemota,Duan Asemota,1996-08-29,CAN,1,Alumni Stadium,London,CAN,2024-05-26,1196,100_metres,male
157,150,10.03,0.4,Lamont_Marcell_Jacobs,Lamont Marcell Jacobs,1994-09-26,ITA,4,Bislett Stadion,Oslo,NOR,2024-05-30,1196,100_metres,male
158,150,10.03,-0.9,Pjai_Austin,Pjai Austin,2000-09-19,USA,1,Edwin Moses Track, Atlanta,USA,2024-05-31,1201,100_metres,male
159,150,10.03,0.2,Wanya_Mccoy,Wanya Mccoy,2003-03-29,BAH,6,Hayward Field, Eugene,USA,2024-06-07,1196,100_metres,male
160,150,10.03,0.6,Fred_Kerley,Fred Kerley,1995-05-07,USA,1h2,Hayward Field, Eugene,USA,2024-06-22,1196,100_metres,male
161,150,10.03,0.1,Ismael_Kone,Ismael Kone,2000-11-06,CIV,1sf1,Stade Omnisport de JAPOMA,Douala,CMR,2024-06-22,1196,100_metres,male
162,150,10.03,0.4,Brandon_Hicklin,Brandon Hicklin,1999-04-02,USA,7,Hayward Field, Eugene,USA,2024-06-23,1196,100_metres,male
163,150,10.03,1.5,Lance_Lang,Lance Lang,2001-02-01,USA,4sf3,Hayward Field, Eugene,USA,2024-06-23,1196,100_metres,male
164,150,10.03,0.8,Ronnie_Baker,Ronnie Baker,1993-10-15,USA,2,FBK Stadium,Hengelo,NED,2024-07-07,1196,100_metres,male
165,150,10.03,1.9,Bradley_Nkoana,Bradley Nkoana,2005-01-27,RSA,5f1,Stade de La Charriere,La Chaux-de-Fonds,SUI,2024-07-14,1196,100_metres,male
166,150,10.03,1.9,Seye_Ogunlewe,Seye Ogunlewe,1991-08-30,NGR,6f1,Stade de La Charriere,La Chaux-de-Fonds,SUI,2024-07-14,1196,100_metres,male
167,150,10.03,-1.1,Akani_Simbine,Akani Simbine,1993-09-21,RSA,1h6,Stade de France,Paris,FRA,2024-08-03,1202,100_metres,male
168,150,10.03,0.2,Zharnel_Hughes,Zharnel Hughes,1995-07-13,GBR,3h8,Stade de France,Paris,FRA,2024-08-03,1196,100_metres,male
169,150,10.03,0.3,Ackeem_Blake,Ackeem Blake,2002-01-21,JAM,4,Stadio Olimpico,Roma,ITA,2024-08-30,1196,100_metres,male
