"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
38,39,49.68,,Amber ANNING,18 NOV 2000,GBR,1h3,"Stade de France, Paris (FRA)",05 AUG 2024,1218
39,40,49.69,,Femke BOL,23 FEB 2000,NED,1f1,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1251
40,41,49.71,,Kaylyn BROWN,31 DEC 2004,USA,1sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1217
41,41,49.71,,Aaliyah BUTLER,05 NOV 2003,USA,2,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1217
42,43,49.72,,Nickisha PRYCE,07 MAR 2001,JAM,1h2,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1217
43,43,49.72,,Rosey EFFIONG,08 MAY 2001,USA,4,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1217
44,45,49.77,,Alexis HOLMES,28 JAN 2000,USA,6,"Stade de France, Paris (FRA)",09 AUG 2024,1215
45,46,49.78,,Alexis HOLMES,28 JAN 2000,USA,3,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1214
46,47,49.79,,Aaliyah BUTLER,05 NOV 2003,USA,4,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1214
47,48,49.8,,Natalia KACZMAREK,17 JAN 1998,POL,2,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1214
48,48,49.8,,Sada WILLIAMS,01 DEC 1997,BAR,h1,"National Stadium, Kingston (JAM)",29 JUN 2024,1214
49,50,49.81,,Kendall ELLIS,08 MAR 1996,USA,1sf2,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1213
50,51,49.82,,Kaylyn BROWN,31 DEC 2004,USA,1sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1213
51,51,49.82,,Natalia KACZMAREK,17 JAN 1998,POL,2,"Stade Charléty, Paris (FRA)",07 JUL 2024,1213
52,51,49.82,,Salwa Eid NASER,23 MAY 1998,BRN,3,"Stade Charléty, Paris (FRA)",07 JUL 2024,1213
53,54,49.83,,Sada WILLIAMS,01 DEC 1997,BAR,7,"Stade de France, Paris (FRA)",09 AUG 2024,1212
54,55,49.85,,Henriette JÆGER,30 JUN 2003,NOR,2f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1212
55,56,49.86,,Kaylyn BROWN,31 DEC 2004,USA,1h1,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1211
56,56,49.86,,Natalia KACZMAREK,17 JAN 1998,POL,1,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1211
57,58,49.87,,Nickisha PRYCE,07 MAR 2001,JAM,1sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1211
58,58,49.87,,Laviai NIELSEN,13 MAR 1996,GBR,5,"Olympic Stadium, London (GBR)",20 JUL 2024,1211
59,60,49.88,,Salwa Eid NASER,23 MAY 1998,BRN,1f1,"Estadio Ciudad de Málaga, Málaga (ESP)",09 JUL 2024,1210
60,61,49.89,,Sada WILLIAMS,01 DEC 1997,BAR,3sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1210
61,62,49.91,,Salwa Eid NASER,23 MAY 1998,BRN,1h1,"Stade de France, Paris (FRA)",05 AUG 2024,1209
62,63,49.93,,Nickisha PRYCE,07 MAR 2001,JAM,1h2,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1208
63,64,49.95,,Kaylyn BROWN,31 DEC 2004,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1208
64,64,49.95,,Rhasidat ADELEKE,29 AUG 2002,IRL,2sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1208
65,64,49.95,,Natalia KACZMAREK,17 JAN 1998,POL,3,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1208
66,67,49.96,,Lieke KLAVER,20 AUG 1998,NED,2h3,"Stade de France, Paris (FRA)",05 AUG 2024,1207
67,67,49.96,,Henriette JÆGER,30 JUN 2003,NOR,8,"Stade de France, Paris (FRA)",09 AUG 2024,1207
68,69,49.98,,Kaylyn BROWN,31 DEC 2004,USA,1h1,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1206
69,69,49.98,,Natalia KACZMAREK,17 JAN 1998,POL,1h4,"Stade de France, Paris (FRA)",05 AUG 2024,1206
70,71,49.99,,Alexis HOLMES,28 JAN 2000,USA,2,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1206
71,72,50.0,,Alexis HOLMES,28 JAN 2000,USA,2sf2,"Stade de France, Paris (FRA)",07 AUG 2024,1206
72,72,50.0,,Rhasidat ADELEKE,29 AUG 2002,IRL,4,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1206
73,72,50.0,,Stacey Ann WILLIAMS,08 MAR 1999,JAM,1,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1206
74,75,50.01,,Aaliyah BUTLER,05 NOV 2003,USA,2sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1205
75,75,50.01,,Nickisha PRYCE,07 MAR 2001,JAM,1,"National Stadium, Kingston (JAM)",30 JUN 2024,1205
76,75,50.01,,Alexis HOLMES,28 JAN 2000,USA,5,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1205
77,78,50.02,,Alexis HOLMES,28 JAN 2000,USA,4,"Stade Charléty, Paris (FRA)",07 JUL 2024,1205
78,78,50.02,,Femke BOL,23 FEB 2000,NED,1,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1205
79,78,50.02,,Nickisha PRYCE,07 MAR 2001,JAM,1h2,"Stade de France, Paris (FRA)",05 AUG 2024,1205
80,81,50.05,,Aaliyah BUTLER,05 NOV 2003,USA,2f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1203
81,82,50.07,,Kaylyn BROWN,31 DEC 2004,USA,4,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1203
82,83,50.08,,Amber ANNING,18 NOV 2000,GBR,3f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1202
83,83,50.08,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1202
84,83,50.08,,Lieke KLAVER,20 AUG 1998,NED,3,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1202
85,86,50.09,,Natalia KACZMAREK,17 JAN 1998,POL,1,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1202
86,86,50.09,,Rhasidat ADELEKE,29 AUG 2002,IRL,1h6,"Stade de France, Paris (FRA)",05 AUG 2024,1202
87,88,50.1,,Lieke KLAVER,20 AUG 1998,NED,2,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2024,1235
88,89,50.11,,Rosey EFFIONG,08 MAY 2001,USA,2h1,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1201
89,90,50.13,,Nickisha PRYCE,07 MAR 2001,JAM,4f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1200
90,90,50.13,,Shamier LITTLE,20 MAR 1995,USA,1h3,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1200
91,92,50.14,,Aaliyah BUTLER,05 NOV 2003,USA,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1200
92,92,50.14,,Polina TKALICH,09 JUN 2000,RUS,1,"Kalininets Stadium, Yekaterinburg (RUS)",17 AUG 2024,1200
93,94,50.16,,Lieke KLAVER,20 AUG 1998,NED,2,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1232
94,94,50.16,,Shamier LITTLE,20 MAR 1995,USA,2sf2,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1199
95,94,50.16,,Stacey Ann WILLIAMS,08 MAR 1999,JAM,2h1,"Stade de France, Paris (FRA)",05 AUG 2024,1199
96,97,50.17,,Isabella WHITTAKER,15 FEB 2002,USA,5,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1199
97,97,50.17,,Lynna IRBY-JACKSON,06 DEC 1998,USA,1sf3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1199
98,97,50.17,,Henriette JÆGER,30 JUN 2003,NOR,3sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1199
99,100,50.19,,Amber ANNING,18 NOV 2000,GBR,1h3,"John McDonnell Field, Fayetteville, AR (USA)",25 MAY 2024,1198
0,100,50.19,,Alexis HOLMES,28 JAN 2000,USA,3sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1198
1,100,50.19,,Polina TKALICH,09 JUN 2000,RUS,1f2,"Regional Sport Complex, Brest (BLR)",01 AUG 2024,1198
2,103,50.22,,Henriette JÆGER,30 JUN 2003,NOR,2,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1197
3,104,50.23,,Amber ANNING,18 NOV 2000,GBR,1pr3,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1196
4,105,50.24,,Alexis HOLMES,28 JAN 2000,USA,3,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1229
5,106,50.26,,Rosey EFFIONG,08 MAY 2001,USA,1pr5,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1195
6,107,50.27,,Marileidy PAULINO,25 OCT 1996,DOM,1,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1195
7,108,50.29,,Natalia KACZMAREK,17 JAN 1998,POL,2,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1194
8,109,50.3,,Aaliyah BUTLER,05 NOV 2003,USA,1sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1193
9,110,50.31,,Alexis HOLMES,28 JAN 2000,USA,1,"National Stadium, Kingston (JAM)",11 MAY 2024,1193
10,110,50.31,,Nickisha PRYCE,07 MAR 2001,JAM,1pr6,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024,1193
11,112,50.32,,Salwa Eid NASER,23 MAY 1998,BRN,2,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1193
12,112,50.32,,Alexis HOLMES,28 JAN 2000,USA,2,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1193
13,114,50.33,,JaMeesia FORD,26 JAN 2005,USA,4sf1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1192
14,114,50.33,,Henriette JÆGER,30 JUN 2003,NOR,6,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1192
15,116,50.34,,Alexis HOLMES,28 JAN 2000,USA,1,"Convention Center, Albuquerque, NM (USA) (i)",17 FEB 2024,1225
16,117,50.35,,Alexis HOLMES,28 JAN 2000,USA,2h6,"Stade de France, Paris (FRA)",05 AUG 2024,1191
17,118,50.36,,Laviai NIELSEN,13 MAR 1996,GBR,2h2,"Stade de France, Paris (FRA)",05 AUG 2024,1191
18,119,50.37,,Gabrielle THOMAS,07 DEC 1996,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",20 APR 2024,1191
19,120,50.38,,Roxana GÓMEZ,07 JAN 1999,CUB,2h4,"Stade de France, Paris (FRA)",05 AUG 2024,1190
20,121,50.39,,Aaliyah BUTLER,05 NOV 2003,USA,1h3,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1190
21,121,50.39,,Kendall ELLIS,08 MAR 1996,USA,3,"Stade Louis II, Monaco (MON)",12 JUL 2024,1190
22,121,50.39,,Henriette JÆGER,30 JUN 2003,NOR,3h2,"Stade de France, Paris (FRA)",05 AUG 2024,1190
23,124,50.4,,Alexis HOLMES,28 JAN 2000,USA,3,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1189
24,124,50.4,,Kendall ELLIS,08 MAR 1996,USA,4sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1189
25,124,50.4,,Salwa Eid NASER,23 MAY 1998,BRN,3,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1189
26,127,50.42,,Natalia KACZMAREK,17 JAN 1998,POL,1f1,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1189
27,127,50.42,,Rosey EFFIONG,08 MAY 2001,USA,2sf2,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1189
28,129,50.43,,Amber ANNING,18 NOV 2000,GBR,1f2,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1222
29,129,50.43,,Amandine BROSSIER,15 AUG 1995,FRA,4,"Stade Louis II, Monaco (MON)",12 JUL 2024,1188
30,131,50.44,,Quanera HAYES,07 MAR 1992,USA,1,"Alumni Stadium, Guelph (CAN)",04 JUN 2024,1188
31,131,50.44,,Aaliyah BUTLER,05 NOV 2003,USA,1h2,"Hayward Field, Eugene, OR (USA)",21 JUN 2024,1188
32,131,50.44,,Kendall ELLIS,08 MAR 1996,USA,14,"Stade de France, Paris (FRA)",06 AUG 2024,1188
33,131,50.44,,Lieke KLAVER,20 AUG 1998,NED,4sf1,"Stade de France, Paris (FRA)",07 AUG 2024,1188
34,135,50.45,,Sada WILLIAMS,01 DEC 1997,BAR,3h4,"Stade de France, Paris (FRA)",05 AUG 2024,1187
35,136,50.46,,Quanera HAYES,07 MAR 1992,USA,3sf2,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1187
36,136,50.46,,Roxana GÓMEZ,07 JAN 1999,CUB,2f1,"Estadio Ciudad de Málaga, Málaga (ESP)",09 JUL 2024,1187
37,136,50.46,,Lieke KLAVER,20 AUG 1998,NED,7,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1187
38,139,50.47,,Lauren GALE,01 JAN 2000,CAN,2,"Alumni Stadium, Guelph (CAN)",04 JUN 2024,1187
39,139,50.47,,Amber ANNING,18 NOV 2000,GBR,1,"Manchester Regional Arena, Manchester (GBR)",30 JUN 2024,1187
40,141,50.48,,Isabella WHITTAKER,15 FEB 2002,USA,2sf3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1186
41,141,50.48,,Roxana GÓMEZ,07 JAN 1999,CUB,5sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1186
42,143,50.49,,Henriette JÆGER,30 JUN 2003,NOR,1,"Letzigrund, Zürich (SUI)",05 SEP 2024,1186
43,144,50.5,,Lieke KLAVER,20 AUG 1998,NED,2f1,"Arena Stade Couvert, Liévin (FRA) (i)",10 FEB 2024,1219
44,145,50.51,,Bailey LEAR,17 MAR 2001,USA,2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1185
45,146,50.52,,Lurdes Gloria MANUEL,12 JUL 2005,CZE,4,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1185
46,146,50.52,,Aaliyah BUTLER,05 NOV 2003,USA,2h5,"Stade de France, Paris (FRA)",05 AUG 2024,1185
47,146,50.52,,Gabby SCOTT,13 JAN 1997,PUR,12,"Stade de France, Paris (FRA)",06 AUG 2024,1185
48,149,50.53,,Stacey Ann WILLIAMS,08 MAR 1999,JAM,2,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1184
49,150,50.54,,Lieke KLAVER,20 AUG 1998,NED,1f1,"Atletická hala, Ostrava (CZE) (i)",30 JAN 2024,1217
50,150,50.54,,Rhasidat ADELEKE,29 AUG 2002,IRL,1sf1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1184
51,150,50.54,,Andrea MIKLÓS,17 APR 1999,ROU,3h1,"Stade de France, Paris (FRA)",05 AUG 2024,1184
52,153,50.55,,Femke BOL,23 FEB 2000,NED,1h2,"Omnisport, Apeldoorn (NED) (i)",17 FEB 2024,1217
53,153,50.55,,Quanera HAYES,07 MAR 1992,USA,5,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1183
54,155,50.56,,Amber ANNING,18 NOV 2000,GBR,1f11,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",27 JAN 2024,1217
55,155,50.56,,Mary MORAA,15 JUN 2000,KEN,2,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1183
56,155,50.56,,Stacey Ann WILLIAMS,08 MAR 1999,JAM,2,"National Stadium, Kingston (JAM)",30 JUN 2024,1183
57,158,50.57,,Lieke KLAVER,20 AUG 1998,NED,1f1,"Arena, Toruń (POL) (i)",06 FEB 2024,1216
58,158,50.57,,Mary MORAA,15 JUN 2000,KEN,1,"University of Ghana Sports Stadium, Accra (GHA)",20 MAR 2024,1183
59,158,50.57,,Ella ONOJUVWEVWO,25 MAR 2005,NGR,2h3,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1183
60,158,50.57,,Lieke KLAVER,20 AUG 1998,NED,1sf3,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1183
61,162,50.58,,Paola MORÁN,25 FEB 1997,MEX,1,"Centro Deportivo Olímpico Mexicano, Ciudad de México (MEX)",29 JUN 2024,1182
62,162,50.58,,Stacey Ann WILLIAMS,08 MAR 1999,JAM,1,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1182
63,162,50.58,,Shamier LITTLE,20 MAR 1995,USA,3,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1182
64,165,50.59,,Lurdes Gloria MANUEL,12 JUL 2005,CZE,2,"Mestský Stadion, Ostrava (CZE)",28 MAY 2024,1182
65,165,50.59,,Ella ONOJUVWEVWO,25 MAR 2005,NGR,11,"Stade de France, Paris (FRA)",06 AUG 2024,1182
66,165,50.59,,Victoria OHURUOGU,28 FEB 1993,GBR,13,"Stade de France, Paris (FRA)",06 AUG 2024,1182
67,168,50.6,,Susanne GOGL-WALLI,05 MAY 1996,AUT,2,"Letzigrund, Zürich (SUI)",05 SEP 2024,1182
68,169,50.62,,Lieke KLAVER,20 AUG 1998,NED,4,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1181
69,170,50.63,,Shafiqua MALONEY,27 FEB 1999,VIN,1f2,"Stadio G. Teghil, Lignano Sabbiadoro (ITA)",14 JUL 2024,1180
70,171,50.64,,Brianna WHITE,09 JUN 2002,USA,2sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1180
71,171,50.64,,Amber ANNING,18 NOV 2000,GBR,1h2,"Manchester Regional Arena, Manchester (GBR)",29 JUN 2024,1180
72,173,50.65,,Alexis HOLMES,28 JAN 2000,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1180
73,173,50.65,,Stephenie Ann MCPHERSON,25 NOV 1988,JAM,1,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1180
74,175,50.66,,Femke BOL,23 FEB 2000,NED,1sf2,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1213
75,175,50.66,,Miranda Charlene COETZEE,14 NOV 1997,RSA,22,"Stade de France, Paris (FRA)",06 AUG 2024,1179
76,177,50.67,,Amber ANNING,18 NOV 2000,GBR,1sf1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1179
77,177,50.67,,Laviai NIELSEN,13 MAR 1996,GBR,5,"Stade Charléty, Paris (FRA)",07 JUL 2024,1179
78,177,50.67,,Susanne GOGL-WALLI,05 MAY 1996,AUT,3h5,"Stade de France, Paris (FRA)",05 AUG 2024,1179
79,177,50.67,,Sada WILLIAMS,01 DEC 1997,BAR,2,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1179
80,181,50.68,,Isabella WHITTAKER,15 FEB 2002,USA,6,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1178
81,182,50.69,,Roxana GÓMEZ,07 JAN 1999,CUB,1f1,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",16 JUN 2024,1178
82,182,50.69,,Laviai NIELSEN,13 MAR 1996,GBR,3sf2,"Stade de France, Paris (FRA)",07 AUG 2024,1178
83,184,50.7,,Ella ONOJUVWEVWO,25 MAR 2005,NGR,2sf3,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1178
84,184,50.7,,Natalia KACZMAREK,17 JAN 1998,POL,1sf2,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1178
85,186,50.71,,Stacey Ann WILLIAMS,08 MAR 1999,JAM,2f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1177
86,186,50.71,,Sada WILLIAMS,01 DEC 1997,BAR,5,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1177
87,186,50.71,,Andrea MIKLÓS,17 APR 1999,ROU,5,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1177
88,186,50.71,,Laviai NIELSEN,13 MAR 1996,GBR,6,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1177
89,186,50.71,,Lynna IRBY-JACKSON,06 DEC 1998,USA,6,"Olympic Stadium, London (GBR)",20 JUL 2024,1177
90,186,50.71,,Sharlene MAWDSLEY,10 AUG 1998,IRL,4h5,"Stade de France, Paris (FRA)",05 AUG 2024,1177
91,192,50.72,,Sharlene MAWDSLEY,10 AUG 1998,IRL,1f2,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1177
92,192,50.72,,Ella ONOJUVWEVWO,25 MAR 2005,NGR,6,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1177
93,192,50.72,,Lurdes Gloria MANUEL,12 JUL 2005,CZE,5,"Stade Louis II, Monaco (MON)",12 JUL 2024,1177
94,195,50.73,,Alexis HOLMES,28 JAN 2000,USA,3,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1176
95,195,50.73,,Laviai NIELSEN,13 MAR 1996,GBR,2sf1,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1176
96,195,50.73,,Paola MORÁN,25 FEB 1997,MEX,6sf3,"Stade de France, Paris (FRA)",07 AUG 2024,1176
97,198,50.74,,Amber ANNING,18 NOV 2000,GBR,1h2,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1209
98,198,50.74,,Britton WILSON,13 NOV 2000,USA,1f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1176
99,198,50.74,,Rachel JOSEPH,26 MAR 2004,USA,3sf3,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1176
0,198,50.74,,Lynna IRBY-JACKSON,06 DEC 1998,USA,7,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1176
1,198,50.74,,Junelle BROMFIELD,08 FEB 1998,JAM,2h1,"National Stadium, Kingston (JAM)",29 JUN 2024,1176
2,198,50.74,,Gabby SCOTT,13 JAN 1997,PUR,4h1,"Stade de France, Paris (FRA)",05 AUG 2024,1176
3,204,50.75,,Shafiqua MALONEY,27 FEB 1999,VIN,1f2,"John McDonnell Field, Fayetteville, AR (USA)",03 MAY 2024,1176
