"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
83,83,12.5,0.5,Devynne CHARLTON,26 NOV 1995,BAH,2sf1,"Stade de France, Paris (FRA)",09 AUG 2024,1218
84,85,12.51,-0.8,Christina CLEMONS,29 MAY 1990,USA,3f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1221
85,85,12.51,1.7,Tonea MARSHALL,17 OCT 1998,USA,2,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1217
86,85,12.51,1.6,Nadine VISSER,09 FEB 1995,NED,2,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1217
87,85,12.51,1.9,Nia ALI,23 OCT 1988,USA,1h2,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1217
88,85,12.51,0.7,Masai RUSSELL,17 JUN 2000,USA,2h2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1217
89,85,12.51,0.6,Tonea MARSHALL,17 OCT 1998,USA,4,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1217
90,91,12.52,-0.8,Ackera NUGENT,29 APR 2002,JAM,4f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1220
91,91,12.52,1.9,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,1h1,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1216
92,91,12.52,-0.9,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,1,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1221
93,91,12.52,0.2,Grace STARK,06 MAY 2001,USA,2h4,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1216
94,91,12.52,0.8,Christina CLEMONS,29 MAY 1990,USA,1sf1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1216
95,91,12.52,0.8,Kendra HARRISON,18 SEP 1992,USA,2sf1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1216
96,91,12.52,-0.7,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,4sf3,"Stade de France, Paris (FRA)",09 AUG 2024,1220
97,91,12.52,-0.5,Kendra HARRISON,18 SEP 1992,USA,8,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1219
98,91,12.52,0.6,Nadine VISSER,09 FEB 1995,NED,3h2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1216
99,91,12.52,0.6,Tonea MARSHALL,17 OCT 1998,USA,4h2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1216
0,91,12.52,-0.4,Nadine VISSER,09 FEB 1995,NED,3,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1218
1,91,12.52,0.6,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1216
2,103,12.53,1.7,Pia SKRZYSZOWSKA,20 APR 2001,POL,3,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1214
3,103,12.53,0.8,Grace STARK,06 MAY 2001,USA,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1214
4,103,12.53,0.8,Maribel Vanessa CAICEDO,01 APR 1998,ECU,1sf1,"Hayward Field, Eugene, OR (USA)",06 JUN 2024,1214
5,103,12.53,0.4,Christina CLEMONS,29 MAY 1990,USA,1,"Emory Woodruff Physical Education Center, Atlanta, GA (USA)",08 JUN 2024,1214
6,103,12.53,0.5,Danielle WILLIAMS,14 SEP 1992,JAM,2,"National Stadium, Kingston (JAM)",30 JUN 2024,1214
7,103,12.53,0.8,Nadine VISSER,09 FEB 1995,NED,1h3,"Stade de France, Paris (FRA)",07 AUG 2024,1214
8,103,12.53,0.8,Masai RUSSELL,17 JUN 2000,USA,1h3,"Stade de France, Paris (FRA)",07 AUG 2024,1214
9,103,12.53,-0.9,Danielle WILLIAMS,14 SEP 1992,JAM,5,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1219
10,111,12.54,1.7,Amber HUGHES,23 SEP 1994,USA,4,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1213
11,111,12.54,0.9,Christina CLEMONS,29 MAY 1990,USA,3,"National Stadium, Kingston (JAM)",11 MAY 2024,1213
12,111,12.54,-0.9,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,2,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1218
13,111,12.54,0.6,Ackera NUGENT,29 APR 2002,JAM,1,"The Bahamas National Stadium, Nassau (BAH)",16 JUN 2024,1213
14,111,12.54,-0.2,Nia ALI,23 OCT 1988,USA,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1214
15,111,12.54,0.8,Nadine VISSER,09 FEB 1995,NED,5,"Letzigrund, Zürich (SUI)",05 SEP 2024,1213
16,111,12.54,0.6,Grace STARK,06 MAY 2001,USA,2,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1213
17,111,12.54,0.4,Nadine VISSER,09 FEB 1995,NED,2,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1213
18,119,12.55,-0.2,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,3,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1212
19,119,12.55,-1.0,Tonea MARSHALL,17 OCT 1998,USA,1,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1217
20,119,12.55,-0.9,Tonea MARSHALL,17 OCT 1998,USA,3,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1216
21,119,12.55,1.4,Grace STARK,06 MAY 2001,USA,1sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1211
22,119,12.55,0.8,Nia ALI,23 OCT 1988,USA,3sf1,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1211
23,119,12.55,0.5,Tobi AMUSAN,23 APR 1997,NGR,3sf1,"Stade de France, Paris (FRA)",09 AUG 2024,1211
24,119,12.55,0.5,Pia SKRZYSZOWSKA,20 APR 2001,POL,3sf1,"Stade de France, Paris (FRA)",09 AUG 2024,1211
25,119,12.55,-0.5,Ackera NUGENT,29 APR 2002,JAM,1f1,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1214
26,119,12.55,0.4,Ackera NUGENT,29 APR 2002,JAM,3,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1211
27,128,12.56,1.1,Grace STARK,06 MAY 2001,USA,1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1210
28,128,12.56,-0.2,Danielle WILLIAMS,14 SEP 1992,JAM,4,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1211
29,128,12.56,-0.5,Maribel Vanessa CAICEDO,01 APR 1998,ECU,2,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1213
30,128,12.56,0.8,Cindy SEMBER,05 AUG 1994,GBR,4,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1210
31,128,12.56,-1.9,Devynne CHARLTON,26 NOV 1995,BAH,1,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1221
32,128,12.56,0.1,Christina CLEMONS,29 MAY 1990,USA,1h3,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1210
33,128,12.56,1.5,Marione FOURIE,30 APR 2002,RSA,3h1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1210
34,128,12.56,0.8,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,3h3,"Stade de France, Paris (FRA)",07 AUG 2024,1210
35,128,12.56,-0.3,Devynne CHARLTON,26 NOV 1995,BAH,6,"Stade de France, Paris (FRA)",10 AUG 2024,1211
36,128,12.56,0.6,Masai RUSSELL,17 JUN 2000,USA,5h2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1210
37,128,12.56,0.6,Danielle WILLIAMS,14 SEP 1992,JAM,5,"Icahn Stadium, New York, NY (USA)",26 SEP 2024,1210
38,139,12.57,-0.8,Danielle WILLIAMS,14 SEP 1992,JAM,5f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1213
39,139,12.57,-0.8,Cindy SEMBER,05 AUG 1994,GBR,5f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1213
40,139,12.57,1.8,Ackera NUGENT,29 APR 2002,JAM,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1209
41,139,12.57,-1.0,Alaysha JOHNSON,20 JUL 1996,USA,2,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1215
42,139,12.57,-1.1,Danielle WILLIAMS,14 SEP 1992,JAM,2h1,"National Stadium, Kingston (JAM)",29 JUN 2024,1215
43,139,12.57,1.6,Pia SKRZYSZOWSKA,20 APR 2001,POL,4,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1209
44,139,12.57,-0.4,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,4,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1211
45,139,12.57,0.8,Danielle WILLIAMS,14 SEP 1992,JAM,6,"Letzigrund, Zürich (SUI)",05 SEP 2024,1209
46,139,12.57,0.8,Kendra HARRISON,18 SEP 1992,USA,7,"Letzigrund, Zürich (SUI)",05 SEP 2024,1209
47,148,12.58,-0.2,Tobi AMUSAN,23 APR 1997,NGR,5,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1208
48,148,12.58,-1.9,Alaysha JOHNSON,20 JUL 1996,USA,2,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1218
49,148,12.58,1.6,Nia ALI,23 OCT 1988,USA,5,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1207
50,148,12.58,-1.7,Grace STARK,06 MAY 2001,USA,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1217
51,148,12.58,0.6,Pia SKRZYSZOWSKA,20 APR 2001,POL,6h2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1207
52,153,12.59,0.7,Cindy SEMBER,05 AUG 1994,GBR,1,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1206
53,153,12.59,0.9,Yanique THOMPSON,12 MAR 1996,JAM,4,"National Stadium, Kingston (JAM)",11 MAY 2024,1206
54,153,12.59,-0.5,Rayniah JONES,28 SEP 2001,USA,3,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1209
55,153,12.59,-0.8,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1h1,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1210
56,153,12.59,0.0,Danielle WILLIAMS,14 SEP 1992,JAM,1h4,"Stade de France, Paris (FRA)",07 AUG 2024,1206
57,153,12.59,-0.9,Alaysha JOHNSON,20 JUL 1996,USA,6,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1211
58,153,12.59,0.4,Grace STARK,06 MAY 2001,USA,4,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1206
59,160,12.6,1.8,Christina CLEMONS,29 MAY 1990,USA,1h2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1204
60,160,12.6,1.6,Denisha CARTWRIGHT,28 DEC 1999,BAH,1,"Track & Field Complex, Mankato, MN (USA)",11 MAY 2024,1204
61,160,12.6,0.2,Kendra HARRISON,18 SEP 1992,USA,1f1,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1204
62,160,12.6,0.3,Marione FOURIE,30 APR 2002,RSA,1h2,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1204
63,160,12.6,-1.7,Tobi AMUSAN,23 APR 1997,NGR,2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1214
64,160,12.6,0.5,Mariam ABDUL-RASHID,21 SEP 1997,CAN,5sf1,"Stade de France, Paris (FRA)",09 AUG 2024,1204
65,166,12.61,-0.8,Amber HUGHES,23 SEP 1994,USA,7f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1207
66,166,12.61,1.6,Maribel Vanessa CAICEDO,01 APR 1998,ECU,1h1,"Potts Field, Boulder, CO (USA)",11 MAY 2024,1203
67,166,12.61,0.7,Christina CLEMONS,29 MAY 1990,USA,7,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1203
68,166,12.61,0.5,Janeek BROWN,14 MAY 1998,JAM,3,"National Stadium, Kingston (JAM)",30 JUN 2024,1203
69,166,12.61,-1.4,Christina CLEMONS,29 MAY 1990,USA,1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1211
70,166,12.61,0.4,Kendra HARRISON,18 SEP 1992,USA,2h1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1203
71,166,12.61,-0.1,Alaysha JOHNSON,20 JUL 1996,USA,2h1,"Stade de France, Paris (FRA)",07 AUG 2024,1203
72,173,12.62,0.4,Pia SKRZYSZOWSKA,20 APR 2001,POL,2sf2,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1202
73,173,12.62,-0.2,Devynne CHARLTON,26 NOV 1995,BAH,1,"T. Robinson Stadium, Nassau (BAH)",27 JUN 2024,1203
74,173,12.62,0.7,Cindy SEMBER,05 AUG 1994,GBR,3h2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1202
75,173,12.62,0.4,Danielle WILLIAMS,14 SEP 1992,JAM,5,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2024,1202
76,177,12.63,0.3,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,1,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1200
77,177,12.63,-1.0,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,3,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1206
78,177,12.63,-0.9,Devynne CHARLTON,26 NOV 1995,BAH,4,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1205
79,177,12.63,0.2,Masai RUSSELL,17 JUN 2000,USA,2f1,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1200
80,177,12.63,0.4,Charisma TAYLOR,03 SEP 1999,BAH,3sf2,"Stade de France, Paris (FRA)",09 AUG 2024,1200
81,182,12.64,0.3,Devynne CHARLTON,26 NOV 1995,BAH,2,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1199
82,182,12.64,1.0,Devynne CHARLTON,26 NOV 1995,BAH,1,"National Stadium, Kingston (JAM)",01 JUN 2024,1199
83,182,12.64,-0.5,Jasmine JONES,30 NOV 2001,USA,4,"Hayward Field, Eugene, OR (USA)",08 JUN 2024,1202
84,182,12.64,0.1,Cindy SEMBER,05 AUG 1994,GBR,1sf3,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1199
85,182,12.64,1.0,Nadine VISSER,09 FEB 1995,NED,1h1,"Centre sportif Bout-du-Monde, Genève (SUI)",22 JUN 2024,1199
86,182,12.64,0.3,Pia SKRZYSZOWSKA,20 APR 2001,POL,2h2,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1199
87,182,12.64,0.3,Maribel Vanessa CAICEDO,01 APR 1998,ECU,2f2,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1199
88,182,12.64,0.4,Christina CLEMONS,29 MAY 1990,USA,3h1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1199
89,190,12.65,-0.8,Cyréna SAMBA-MAYELA,31 OCT 2000,FRA,8f2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1202
90,190,12.65,1.8,Cindy SEMBER,05 AUG 1994,GBR,2h2,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1198
91,190,12.65,0.9,Nia ALI,23 OCT 1988,USA,5,"National Stadium, Kingston (JAM)",11 MAY 2024,1198
92,190,12.65,-0.9,Alaysha JOHNSON,20 JUL 1996,USA,5,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1203
