"",Rank,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score
19,20,9.86,1.5,Christian COLEMAN,06 MAR 1996,USA,1sf3,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1255
20,20,9.86,1.9,Benjamin RICHARDSON,19 DEC 2003,RSA,1f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1255
21,20,9.86,-0.3,Akani SIMBINE,21 SEP 1993,RSA,2,"Olympic Stadium, London (GBR)",20 JUL 2024,1256
22,20,9.86,1.0,Letsile TEBOGO,07 JUN 2003,BOT,6,"Stade de France, Paris (FRA)",04 AUG 2024,1255
23,24,9.87,0.4,Kenneth BEDNAREK,14 OCT 1998,USA,2,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1252
24,24,9.87,0.0,Akani SIMBINE,21 SEP 1993,RSA,1sf2,"Stade de France, Paris (FRA)",04 AUG 2024,1252
25,24,9.87,1.9,Fred KERLEY,07 MAY 1995,USA,1,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1252
26,24,9.87,0.3,Letsile TEBOGO,07 JUN 2003,BOT,1,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1252
27,28,9.88,0.4,Fred KERLEY,07 MAY 1995,USA,3,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1248
28,28,9.88,-0.3,Letsile TEBOGO,07 JUN 2003,BOT,3,"Olympic Stadium, London (GBR)",20 JUL 2024,1249
29,28,9.88,1.0,Kenneth BEDNAREK,14 OCT 1998,USA,7,"Stade de France, Paris (FRA)",04 AUG 2024,1248
30,28,9.88,1.9,Ferdinand OMANYALA,02 JAN 1996,KEN,2,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1248
31,32,9.89,1.9,Ackeem BLAKE,21 JAN 2002,JAM,3,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1245
32,33,9.9,0.0,Shainer REGINFO MONTOYA,08 APR 2002,CUB,1f1,"Helmántico, Salamanca (ESP)",01 JUN 2024,1241
33,34,9.91,-0.6,Kishane THOMPSON,17 JUL 2001,JAM,1,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1241
34,34,9.91,1.2,Emmanuel MATADI,15 APR 1991,LBR,1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1238
35,34,9.91,1.0,Oblique SEVILLE,16 MAR 2001,JAM,8,"Stade de France, Paris (FRA)",04 AUG 2024,1238
36,34,9.91,0.0,Letsile TEBOGO,07 JUN 2003,BOT,2sf2,"Stade de France, Paris (FRA)",04 AUG 2024,1238
37,38,9.92,1.5,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1234
38,38,9.92,0.3,Noah LYLES,18 JUL 1997,USA,1h1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1234
39,38,9.92,0.9,Ackeem BLAKE,21 JAN 2002,JAM,3,"National Stadium, Kingston (JAM)",28 JUN 2024,1234
40,38,9.92,0.0,Lamont Marcell JACOBS,26 SEP 1994,ITA,3sf2,"Stade de France, Paris (FRA)",04 AUG 2024,1234
41,38,9.92,0.3,Christian COLEMAN,06 MAR 1996,USA,2,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1234
42,43,9.93,1.6,Christian MILLER,16 MAY 2006,USA,1f1,"National Training Center, Clermont, FL (USA)",20 APR 2024,1231
43,43,9.93,2.0,Kendal WILLIAMS,23 SEP 1995,USA,1f1,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1231
44,43,9.93,0.4,Christian COLEMAN,06 MAR 1996,USA,4,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1231
45,43,9.93,0.0,Kenneth BEDNAREK,14 OCT 1998,USA,4sf2,"Stade de France, Paris (FRA)",04 AUG 2024,1231
46,43,9.93,1.9,Lamont Marcell JACOBS,26 SEP 1994,ITA,4,"Stadion Śląski, Chorzów (POL)",25 AUG 2024,1231
47,43,9.93,0.1,Ackeem BLAKE,21 JAN 2002,JAM,1,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1231
48,49,9.94,1.7,Brandon HICKLIN,02 APR 1999,USA,1f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1227
49,49,9.94,1.4,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1227
50,49,9.94,0.4,Akani SIMBINE,21 SEP 1993,RSA,1,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1227
51,49,9.94,1.7,Brandon HICKLIN,02 APR 1999,USA,1,"Stadion Juliska, Praha (CZE)",03 JUN 2024,1227
52,49,9.94,0.8,Pjai AUSTIN,19 SEP 2000,USA,1h1,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1227
53,54,9.95,1.2,Christian COLEMAN,06 MAR 1996,USA,1,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1224
54,54,9.95,0.2,Louie HINCHLIFFE,18 JUL 2002,GBR,1,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1224
55,54,9.95,1.2,Christian MILLER,16 MAY 2006,USA,1sf1,"Franklin Field, Philadelphia, PA (USA)",14 JUN 2024,1224
56,54,9.95,1.5,Brandon HICKLIN,02 APR 1999,USA,2sf3,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1224
57,54,9.95,1.0,Ackeem BLAKE,21 JAN 2002,JAM,2h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1224
58,54,9.95,1.9,Ronnie BAKER,15 OCT 1993,USA,2f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1224
59,54,9.95,0.5,Benjamin RICHARDSON,19 DEC 2003,RSA,3sf3,"Stade de France, Paris (FRA)",04 AUG 2024,1224
60,54,9.95,1.5,Ferdinand OMANYALA,02 JAN 1996,KEN,1h5,"Pramtalstadion, Andorf (AUT)",17 AUG 2024,1224
61,54,9.95,0.3,Fred KERLEY,07 MAY 1995,USA,3,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1224
62,63,9.96,0.0,Reynaldo R. ESPINOSA,01 FEB 2003,CUB,2f1,"Helmántico, Salamanca (ESP)",01 JUN 2024,1220
63,63,9.96,1.5,Chituru ALI,06 APR 1999,ITA,2,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1220
64,63,9.96,0.5,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,4sf3,"Stade de France, Paris (FRA)",04 AUG 2024,1220
65,63,9.96,0.2,Ackeem BLAKE,21 JAN 2002,JAM,1,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1220
66,67,9.97,1.4,Jeremiah AZU,15 MAY 2001,GBR,1f1,"Stadion Manfort, Leverkusen (GER)",25 MAY 2024,1217
67,67,9.97,1.5,Jhonny RENTERIA JIMÉNEZ,26 MAR 1997,COL,1,"Polideportivo Zorrotza, Bilbao (ESP)",18 JUN 2024,1217
68,67,9.97,1.5,Kyree KING,09 JUL 1994,USA,3sf3,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1217
69,67,9.97,-0.3,Louie HINCHLIFFE,18 JUL 2002,GBR,4,"Olympic Stadium, London (GBR)",20 JUL 2024,1218
70,67,9.97,-0.3,Ackeem BLAKE,21 JAN 2002,JAM,5,"Olympic Stadium, London (GBR)",20 JUL 2024,1218
71,67,9.97,0.3,Kenneth BEDNAREK,14 OCT 1998,USA,1h7,"Stade de France, Paris (FRA)",03 AUG 2024,1217
72,67,9.97,0.2,Fred KERLEY,07 MAY 1995,USA,1h8,"Stade de France, Paris (FRA)",03 AUG 2024,1217
73,67,9.97,0.7,Louie HINCHLIFFE,18 JUL 2002,GBR,3sf1,"Stade de France, Paris (FRA)",04 AUG 2024,1217
74,67,9.97,-0.2,Courtney LINDSEY,18 NOV 1998,USA,1,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1218
75,76,9.98,1.2,Ferdinand OMANYALA,02 JAN 1996,KEN,2,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1213
76,76,9.98,0.9,Ronnie BAKER,15 OCT 1993,USA,1h1,"Emory Woodruff Physical Education Center, Atlanta, GA (USA)",08 JUN 2024,1213
77,76,9.98,0.4,Christian MILLER,16 MAY 2006,USA,5,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1213
78,76,9.98,0.4,Oblique SEVILLE,16 MAR 2001,JAM,1h1,"National Stadium, Kingston (JAM)",27 JUN 2024,1213
79,76,9.98,0.4,Bryan LEVELL,23 DEC 2003,JAM,2sf2,"National Stadium, Kingston (JAM)",28 JUN 2024,1213
80,76,9.98,1.9,Ebrahima CAMARA,18 SEP 1996,GAM,3f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1213
81,76,9.98,1.8,Jeff ERIUS,08 MAR 2004,FRA,1f1,"Stadium Municipal, Albi (FRA)",19 JUL 2024,1213
82,76,9.98,1.1,Emmanuel MATADI,15 APR 1991,LBR,1h2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1213
83,76,9.98,-0.2,Louie HINCHLIFFE,18 JUL 2002,GBR,1h3,"Stade de France, Paris (FRA)",03 AUG 2024,1214
84,76,9.98,0.3,Emmanuel ESEME,17 AUG 1993,CMR,2h7,"Stade de France, Paris (FRA)",03 AUG 2024,1213
85,76,9.98,0.5,Andre DE GRASSE,10 NOV 1994,CAN,5sf3,"Stade de France, Paris (FRA)",04 AUG 2024,1213
86,87,9.99,0.7,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,1f1,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1210
87,87,9.99,0.6,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1210
88,87,9.99,0.4,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,2,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1210
89,87,9.99,0.2,Favour Oghene Tejiri ASHE,28 APR 2002,NGR,2,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1210
90,87,9.99,1.4,Lamont Marcell JACOBS,26 SEP 1994,ITA,1h2,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1210
91,87,9.99,0.1,Christian COLEMAN,06 MAR 1996,USA,1h4,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1210
92,87,9.99,0.5,Owen ANSAH,28 NOV 2000,GER,1,"Eintracht-Stadion, Braunschweig (GER)",29 JUN 2024,1210
93,87,9.99,-0.6,Letsile TEBOGO,07 JUN 2003,BOT,2,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1213
94,87,9.99,0.0,Oblique SEVILLE,16 MAR 2001,JAM,1h4,"Stade de France, Paris (FRA)",03 AUG 2024,1210
95,87,9.99,0.0,Courtney LINDSEY,18 NOV 1998,USA,1,"Olympiastadion, Berlin (GER)",01 SEP 2024,1210
96,97,10.0,2.0,Cejhae GREENE,06 OCT 1995,ANT,2f1,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1206
97,97,10.0,0.8,Louie HINCHLIFFE,18 JUL 2002,GBR,1pr6,"John McDonnell Field, Fayetteville, AR (USA)",22 MAY 2024,1206
98,97,10.0,1.7,Reece PRESCOD,29 FEB 1996,GBR,1er1,"Lee Valley Athletics Centre, London (GBR)",02 JUN 2024,1206
99,97,10.0,0.6,Ackeem BLAKE,21 JAN 2002,JAM,1f1,"National Stadium, Kingston (JAM)",08 JUN 2024,1206
0,97,10.0,1.5,Andre DE GRASSE,10 NOV 1994,CAN,3,"Paavo Nurmen Stadion, Turku (FIN)",18 JUN 2024,1206
1,97,10.0,0.3,Kenneth BEDNAREK,14 OCT 1998,USA,2h1,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1206
2,97,10.0,-0.1,Courtney LINDSEY,18 NOV 1998,USA,1h5,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1206
3,97,10.0,1.0,Sandrey DAVISON,25 JAN 2003,JAM,3h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1206
4,97,10.0,1.0,Julian FORTE,07 JAN 1993,JAM,1h3,"National Stadium, Kingston (JAM)",27 JUN 2024,1206
5,97,10.0,1.9,Lucas ANSAH-PEPRAH,16 JAN 2000,GER,4f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1206
6,97,10.0,0.1,Kayinsola AJAYI,14 SEP 2004,NGR,1f3,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1206
7,97,10.0,1.2,Joseph FAHNBULLEH,11 SEP 2001,LBR,2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1206
8,97,10.0,1.1,Rikkoi BRATHWAITE,13 FEB 1999,IVB,2h2,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1206
9,97,10.0,-0.3,Zharnel HUGHES,13 JUL 1995,GBR,6,"Olympic Stadium, London (GBR)",20 JUL 2024,1207
10,97,10.0,0.6,Kishane THOMPSON,17 JUL 2001,JAM,1h1,"Stade de France, Paris (FRA)",03 AUG 2024,1206
11,97,10.0,0.7,Emmanuel ESEME,17 AUG 1993,CMR,4sf1,"Stade de France, Paris (FRA)",04 AUG 2024,1206
12,97,10.0,0.7,Ferdinand OMANYALA,02 JAN 1996,KEN,1f1,"Pramtalstadion, Andorf (AUT)",17 AUG 2024,1206
13,97,10.0,0.7,Felipe BARDI,08 OCT 1998,BRA,1,"COTP Stadium, São Paulo (BRA)",23 AUG 2024,1206
14,97,10.0,0.0,Akani SIMBINE,21 SEP 1993,RSA,2,"Olympiastadion, Berlin (GER)",01 SEP 2024,1206
15,97,10.0,0.1,Christian COLEMAN,06 MAR 1996,USA,2,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1206
16,117,10.01,1.7,Noah LYLES,18 JUL 1997,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1203
17,117,10.01,1.7,Kenneth BEDNAREK,14 OCT 1998,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1203
18,117,10.01,-0.5,Akani SIMBINE,21 SEP 1993,RSA,1,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",19 APR 2024,1206
19,117,10.01,-0.1,Akani SIMBINE,21 SEP 1993,RSA,1,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1203
20,117,10.01,1.7,Malachi MURRAY,18 MAR 2000,CAN,2f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1203
21,117,10.01,0.4,Emmanuel ESEME,17 AUG 1993,CMR,3,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1203
22,117,10.01,0.2,Kayinsola AJAYI,14 SEP 2004,NGR,3,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1203
23,117,10.01,1.1,Cooper BIBBS,14 APR 1998,USA,1f1,"Notre Dame HS, Sherman Oaks, CA (USA)",07 JUN 2024,1203
24,117,10.01,0.6,Ackeem BLAKE,21 JAN 2002,JAM,2sf1,"National Stadium, Kingston (JAM)",28 JUN 2024,1203
25,117,10.01,0.8,Ferdinand OMANYALA,02 JAN 1996,KEN,1,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1203
26,117,10.01,-0.6,Akani SIMBINE,21 SEP 1993,RSA,3,"Bregyó Athletic Center, Székesfehérvár (HUN)",09 JUL 2024,1206
27,117,10.01,0.2,Letsile TEBOGO,07 JUN 2003,BOT,2h8,"Stade de France, Paris (FRA)",03 AUG 2024,1203
28,117,10.01,0.5,Zharnel HUGHES,13 JUL 1995,GBR,6sf3,"Stade de France, Paris (FRA)",04 AUG 2024,1203
29,117,10.01,1.0,Felipe BARDI,08 OCT 1998,BRA,1h1,"COTP Stadium, São Paulo (BRA)",23 AUG 2024,1203
30,117,10.01,0.7,Jerome BLAKE,18 AUG 1995,CAN,1,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1203
31,117,10.01,0.1,Fred KERLEY,07 MAY 1995,USA,3,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1203
32,133,10.02,0.5,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,1f1,"UMiami Cobb Stadium, Coral Gables, FL (USA)",23 MAR 2024,1199
33,133,10.02,1.8,Pjai AUSTIN,19 SEP 2000,USA,1f1,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1199
34,133,10.02,1.7,Kyree KING,09 JUL 1994,USA,3f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1199
35,133,10.02,1.7,Hiroki YANAGITA,25 JUL 2003,JPN,3f1,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",27 APR 2024,1199
36,133,10.02,0.8,Julian FORTE,07 JAN 1993,JAM,1f1,"National Stadium, Kingston (JAM)",11 MAY 2024,1199
37,133,10.02,0.8,Ackeem BLAKE,21 JAN 2002,JAM,2f1,"National Stadium, Kingston (JAM)",11 MAY 2024,1199
38,133,10.02,0.6,Wanya MCCOY,29 MAR 2003,BAH,2,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1199
39,133,10.02,0.9,Ferdinand OMANYALA,02 JAN 1996,KEN,3,"National Stadium, Kingston (JAM)",01 JUN 2024,1199
40,133,10.02,0.2,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,4,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1199
41,133,10.02,0.2,Abdul-Rasheed SAMINU,06 OCT 1997,GHA,5,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1199
42,133,10.02,0.7,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,"Stadio Olimpico, Roma (ITA)",08 JUN 2024,1199
43,133,10.02,0.4,Courtney LINDSEY,18 NOV 1998,USA,6,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1199
44,133,10.02,0.9,Ryiem FORDE,23 MAY 2001,JAM,1h4,"National Stadium, Kingston (JAM)",27 JUN 2024,1199
45,133,10.02,0.0,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,2h4,"Stade de France, Paris (FRA)",03 AUG 2024,1199
46,133,10.02,-0.3,Kayinsola AJAYI,14 SEP 2004,NGR,1h5,"Stade de France, Paris (FRA)",03 AUG 2024,1200
47,133,10.02,0.7,Shaun MASWANGANYI,01 FEB 2001,RSA,5sf1,"Stade de France, Paris (FRA)",04 AUG 2024,1199
48,133,10.02,-0.2,Ferdinand OMANYALA,02 JAN 1996,KEN,2,"Sports Park Mladost, Zagreb (CRO)",08 SEP 2024,1200
49,150,10.03,1.9,Fred KERLEY,07 MAY 1995,USA,1f1,"UMiami Cobb Stadium, Coral Gables, FL (USA)",16 MAR 2024,1196
50,150,10.03,1.6,Rikkoi BRATHWAITE,13 FEB 1999,IVB,2f1,"National Training Center, Clermont, FL (USA)",20 APR 2024,1196
51,150,10.03,0.8,Abdul-Rasheed SAMINU,06 OCT 1997,GHA,1,"Park West Ath. Complex, San Antonio, TX (USA)",10 MAY 2024,1196
52,150,10.03,0.6,Mccallum T'MARS,20 MAY 2004,USA,3,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1196
53,150,10.03,0.8,Shaun MASWANGANYI,01 FEB 2001,RSA,2pr6,"John McDonnell Field, Fayetteville, AR (USA)",22 MAY 2024,1196
54,150,10.03,1.4,Kayinsola AJAYI,14 SEP 2004,NGR,2sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1196
55,150,10.03,1.9,Duan ASEMOTA,29 AUG 1996,CAN,1,"Alumni Stadium, London (CAN)",26 MAY 2024,1196
56,150,10.03,0.4,Lamont Marcell JACOBS,26 SEP 1994,ITA,4,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1196
57,150,10.03,-0.9,Pjai AUSTIN,19 SEP 2000,USA,1,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1201
58,150,10.03,0.2,Wanya MCCOY,29 MAR 2003,BAH,6,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1196
59,150,10.03,0.6,Fred KERLEY,07 MAY 1995,USA,1h2,"Hayward Field, Eugene, OR (USA)",22 JUN 2024,1196
60,150,10.03,0.1,Ismael KONE,06 NOV 2000,CIV,1sf1,"Stade Omnisport de JAPOMA, Douala (CMR)",22 JUN 2024,1196
61,150,10.03,0.4,Brandon HICKLIN,02 APR 1999,USA,7,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1196
62,150,10.03,1.5,Lance LANG,01 FEB 2001,USA,4sf3,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1196
63,150,10.03,0.8,Ronnie BAKER,15 OCT 1993,USA,2,"FBK Stadium, Hengelo (NED)",07 JUL 2024,1196
64,150,10.03,1.9,Bradley NKOANA,27 JAN 2005,RSA,5f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1196
65,150,10.03,1.9,Seye OGUNLEWE,30 AUG 1991,NGR,6f1,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",14 JUL 2024,1196
66,150,10.03,-1.1,Akani SIMBINE,21 SEP 1993,RSA,1h6,"Stade de France, Paris (FRA)",03 AUG 2024,1202
67,150,10.03,0.2,Zharnel HUGHES,13 JUL 1995,GBR,3h8,"Stade de France, Paris (FRA)",03 AUG 2024,1196
68,150,10.03,0.3,Ackeem BLAKE,21 JAN 2002,JAM,4,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1196
69,170,10.04,1.7,Abdul Hakim SANI BROWN,06 MAR 1999,JPN,4f1,"Percy Beard Track, Gainesville, FL (USA)",13 APR 2024,1193
70,170,10.04,-0.1,Christian COLEMAN,06 MAR 1996,USA,2,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1193
71,170,10.04,2.0,Eloy BENITEZ,07 MAY 2003,PUR,3f1,"National Training Center, Clermont, FL (USA)",11 MAY 2024,1193
72,170,10.04,0.6,Myles THOMAS,2004,USA,4,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1193
73,170,10.04,0.9,Rikkoi BRATHWAITE,13 FEB 1999,IVB,1,"Stade L. Achille, Fort-de-France (FRA)",18 MAY 2024,1193
74,170,10.04,0.8,Lance LANG,01 FEB 2001,USA,3pr6,"John McDonnell Field, Fayetteville, AR (USA)",22 MAY 2024,1193
75,170,10.04,0.7,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1193
76,170,10.04,0.7,Mccallum T'MARS,20 MAY 2004,USA,1sf1,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1193
77,170,10.04,1.4,ZaChaeus BEARD,30 SEP 2000,USA,3sf2,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1193
78,170,10.04,2.0,Eliezer ADJIBI,23 SEP 2000,CAN,1h2,"Alumni Stadium, Guelph (CAN)",04 JUN 2024,1193
79,170,10.04,0.4,Kendal WILLIAMS,23 SEP 1995,USA,8,"Hayward Field, Eugene, OR (USA)",23 JUN 2024,1193
80,170,10.04,1.8,Retshidisitswe MLENGA,27 FEB 2000,RSA,1h1,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1193
81,170,10.04,1.0,Sachin DENNIS,02 AUG 2002,JAM,4h2,"National Stadium, Kingston (JAM)",27 JUN 2024,1193
82,170,10.04,0.9,Bryan LEVELL,23 DEC 2003,JAM,4,"National Stadium, Kingston (JAM)",28 JUN 2024,1193
83,170,10.04,0.9,Jelani WALKER,10 JUN 1998,JAM,5,"National Stadium, Kingston (JAM)",28 JUN 2024,1193
84,170,10.04,-0.7,Pjai AUSTIN,19 SEP 2000,USA,1,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1197
85,170,10.04,-0.2,Noah LYLES,18 JUL 1997,USA,2h3,"Stade de France, Paris (FRA)",03 AUG 2024,1194
86,170,10.04,0.2,Akani SIMBINE,21 SEP 1993,RSA,2,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1193
87,188,10.05,0.6,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,1h3,"Percy Beard Track, Gainesville, FL (USA)",10 MAY 2024,1189
88,188,10.05,2.0,Devin AUGUSTINE,02 DEC 2003,TTO,1,"University of Michigan Outdoor Track Stadium, Ann Arbor, MI (USA)",12 MAY 2024,1189
89,188,10.05,0.7,Jehlani GORDON,01 DEC 2003,JAM,1sf3,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1189
90,188,10.05,1.9,Usheoritse ITSEKIRI,31 JAN 1998,NGR,2,"Alumni Stadium, London (CAN)",26 MAY 2024,1189
91,188,10.05,0.7,Romell GLAVE,11 NOV 1999,GBR,1er1,"London Marathon Community Track, London (GBR)",26 MAY 2024,1189
92,188,10.05,0.4,Brandon HICKLIN,02 APR 1999,USA,5,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1189
